X,Y,Status,Timestamp
1.77,5.39,Healthy,grape leaf,0.584,611.001
1.69,4.28,Healthy,Strawberry leaf,0.699,614.236
1.69,4.28,Healthy,Raspberry leaf,0.783,617.334
2.28,-0.13,Healthy,Soyabean leaf,0.406,622.668
3.98,-3.4,Healthy,Raspberry leaf,0.627,631.752
4.31,-6.71,Healthy,Strawberry leaf,0.818,646.798
2.37,-8.2,Healthy,Strawberry leaf,0.831,658.651
-2.58,-11.09,Unhealthy,Corn Gray leaf spot,0.327,664.454
-2.99,-15.75,Unhealthy,Corn leaf blight,0.356,681.991
-2.99,-15.75,Unhealthy,Tomato leaf bacterial spot,0.461,685.418
-1.45,-13.37,Unhealthy,Corn leaf blight,0.781,688.832
-1.45,-13.37,Unhealthy,Corn Gray leaf spot,0.463,694.937
-1.45,-13.37,Unhealthy,Potato leaf late blight,0.857,697.941
2.29,-6.15,Unhealthy,Potato leaf late blight,0.936,706.745
2.04,-6.58,Healthy,Tomato leaf,0.478,710.854
3.04,-6.61,Healthy,Strawberry leaf,0.81,714.02
1.72,-7.64,Unhealthy,Potato leaf late blight,0.957,717.296
2.68,-5.16,Unhealthy,Apple Scab Leaf,0.315,724.057
2.73,-5.01,Healthy,Apple leaf,0.893,727.356
1.96,-2.13,Healthy,Raspberry leaf,0.587,742.62
1.96,-2.13,Unhealthy,Corn leaf blight,0.423,747.534
5.47,-1.24,Unhealthy,Corn leaf blight,0.842,750.75
8.31,-1.07,Healthy,Raspberry leaf,0.815,754.458
8.57,-1.03,Healthy,Raspberry leaf,0.536,758.356
12.04,-0.55,Healthy,grape leaf,0.443,761.737
10.92,-9.7,Healthy,Apple leaf,0.729,817.624
12.11,-8.58,Unhealthy,Tomato leaf bacterial spot,0.586,824.54
11.78,-8.73,Healthy,Apple leaf,0.963,827.897
12.43,-8.54,Unhealthy,Tomato leaf late blight,0.44,831.941
10.24,-6.37,Unhealthy,Corn leaf blight,0.523,838.526
10.24,-6.37,Unhealthy,Corn leaf blight,0.4,842.21
7.17,-3.28,Unhealthy,Corn leaf blight,0.663,847.102
7.17,-3.28,Unhealthy,Corn leaf blight,0.715,850.238
1.76,-3.21,Unhealthy,grape leaf black rot,0.501,869.533
5.09,-3.16,Healthy,Blueberry leaf,0.574,881.46
9.62,-2.8,Healthy,Peach leaf,0.874,884.801
0.88,-0.35,Healthy,Raspberry leaf,0.421,121.373
9.94,-6.31,Unhealthy,Corn leaf blight,0.315,153.496
6.25,-0.82,Healthy,Peach leaf,0.489,169.84
4.63,1.89,Healthy,Apple leaf,0.57,173.74
4.63,1.89,Healthy,Apple leaf,0.642,177.393
4.33,2.38,Healthy,Apple leaf,0.642,180.433
4.33,2.38,Healthy,Apple leaf,0.642,183.7
0.0,-0.0,Unhealthy,Corn leaf blight,0.568,29.81
0.82,-1.43,Unhealthy,Corn leaf blight,0.525,121.265
2.31,1.52,Unhealthy,Corn leaf blight,0.472,126.799
3.54,1.66,Unhealthy,Apple rust leaf,0.789,130.249
8.89,2.91,Healthy,Blueberry leaf,0.339,153.541
7.57,2.74,Healthy,Soyabean leaf,0.477,157.051
6.6,0.22,Healthy,Strawberry leaf,0.594,162.407
0.0,-0.0,Unhealthy,Corn leaf blight,0.323,27.542
0.05,0.97,Unhealthy,Corn leaf blight,0.55,30.759
8.64,9.25,Healthy,Peach leaf,0.356,66.64
1.31,0.96,Unhealthy,Corn leaf blight,0.561,145.278
1.58,1.44,Unhealthy,Corn leaf blight,0.363,150.684
0.0,-0.0,Unhealthy,Corn leaf blight,0.604,38.223
9.27,-4.5,Unhealthy,Corn Gray leaf spot,0.424,111.659
1.08,-1.73,Unhealthy,Corn leaf blight,0.338,130.722
0.57,0.08,Unhealthy,Corn leaf blight,0.553,136.464
0.59,0.69,Unhealthy,Corn Gray leaf spot,0.518,142.698
1.8,1.01,Unhealthy,Corn leaf blight,0.522,152.694
5.49,1.89,Unhealthy,Corn leaf blight,0.64,171.178
2.72,1.26,Unhealthy,Corn leaf blight,0.66,174.381
2.72,1.26,Unhealthy,Corn leaf blight,0.66,178.12
1.76,1.04,Healthy,Blueberry leaf,0.474,186.598
0.0,-0.0,Unhealthy,Corn leaf blight,0.767,52.083
3.86,8.5,Healthy,Peach leaf,0.424,81.667
8.45,9.14,Healthy,Peach leaf,0.858,92.68
8.0,7.28,Unhealthy,Corn leaf blight,0.312,101.777
1.43,-4.43,Unhealthy,Corn leaf blight,0.396,146.659
3.33,1.5,Unhealthy,Corn leaf blight,0.801,157.386
3.75,1.58,Unhealthy,Corn leaf blight,0.467,185.308
0.12,0.22,Unhealthy,Corn leaf blight,0.31,196.934
0.27,0.08,Healthy,Strawberry leaf,0.381,19.499
3.24,1.44,Unhealthy,Corn leaf blight,0.36,23.748
4.76,2.01,Unhealthy,Potato leaf late blight,0.709,47.55
4.65,3.15,Unhealthy,Tomato leaf yellow virus,0.307,51.056
4.65,3.15,Unhealthy,Corn leaf blight,0.323,54.813
2.14,4.09,Healthy,Cherry leaf,0.567,58.126
8.35,-1.51,Healthy,Cherry leaf,0.881,75.935
7.4,-1.47,Healthy,Cherry leaf,0.475,79.384
0.0,-0.0,Unhealthy,Potato leaf late blight,0.362,22.268
3.16,1.41,Unhealthy,Corn leaf blight,0.512,29.207
6.3,2.3,Unhealthy,Corn Gray leaf spot,0.63,42.251
5.73,2.29,Healthy,Raspberry leaf,0.445,46.802
5.73,2.29,Unhealthy,Potato leaf late blight,0.574,50.132
5.31,1.22,Unhealthy,Tomato leaf bacterial spot,0.655,53.171
